flag_name,flag_on,traffic,user,region,latency,cpu,error,conversion_rate
payment_billing_enable_billing_notifications,1,high,web,LATAM,140,68,0,0.056
cart_pricing_payment_method_discounts,0,medium,mobile,APAC,163,49,0,0.0398
cart_notifications_deal_notifications,1,high,web,EU,161,36,0,0.0441
billing_enable_coupon_management,1,medium,mobile,APAC,143,66,0,0.0445
payment_analytics_enable_revenue_analytics,1,low,web,APAC,179,42,0,0.0533
cart_operations_cart_recovery,1,low,mobile,APAC,137,37,0,0.0495
billing_enable_debt_collection_integration,0,high,mobile,EU,129,42,0,0.0306
provisioning_enable_billing_sync,1,medium,web,US,105,47,0,0.0567
payment_transaction_enable_single_payment,0,medium,web,EU,157,70,0,0.0249
payment_notification_enable_payment_failure_notification,1,low,mobile,APAC,105,49,0,0.0761
cart_product_management_product_search,1,low,mobile,EU,125,39,0,0.0528
auth_enable_passwordless,1,medium,web,US,120,60,0,0.0644
customer_enable_phone_verification,1,medium,mobile,US,143,69,0,0.0479
payment_compliance_enable_transaction_monitoring,1,low,mobile,LATAM,148,40,0,0.0427
cart_inventory_pre_order_support,0,low,mobile,APAC,163,39,0,0.0365
cart_financing_device_financing,1,medium,web,APAC,166,35,0,0.0444
auth_enable_user_deactivation,1,high,mobile,US,114,53,0,0.0504
catalog_enable_product_analytics,1,low,web,LATAM,135,59,0,0.0565
payment_compliance_enable_aml_check,1,medium,mobile,APAC,166,59,0,0.0648
catalog_enable_search_analytics,1,high,web,APAC,116,67,0,0.0432
auth_enable_audit_logging,1,low,mobile,LATAM,120,65,0,0.0573
provisioning_enable_slice_management,1,high,web,EU,111,36,0,0.0515
catalog_enable_plan_customization,0,low,web,US,128,61,0,0.0262
notification_campaign_window_enable,1,medium,web,US,95,38,0,0.0478
catalog_enable_product_modification,1,medium,mobile,LATAM,177,47,0,0.0563
order_analytics_enable_fulfillment_analytics,1,low,mobile,LATAM,94,58,0,0.036
catalog_enable_bulk_upload,1,medium,web,APAC,137,39,0,0.0383
cart_inventory_availability_alerts,0,low,web,LATAM,90,65,0,0.0421
billing_enable_invoice_numbering,1,high,web,LATAM,117,63,0,0.0256
payment_advanced_enable_predictive_churn,0,low,web,EU,122,58,0,0.0487
billing_enable_manual_reconciliation,1,high,web,EU,161,69,0,0.0354
notification_campaign_window_enable,1,medium,mobile,APAC,122,69,0,0.038
customer_enable_suspension,0,low,web,EU,152,69,0,0.0391
order_fulfillment_enable_shipping,1,medium,mobile,US,107,40,0,0.0426
customer_enable_plan_change,0,low,mobile,EU,127,70,0,0.0456
order_lifecycle_enable_creation,0,low,mobile,LATAM,168,62,0,0.0402
notification_routing_enable,1,low,mobile,APAC,157,64,0,0.0435
payment_billing_enable_billing_cycle_management,0,low,web,APAC,154,40,0,0.0372
catalog_enable_ai_pricing,0,medium,mobile,US,119,61,0,0.0435
order_advanced_enable_order_recommendations,0,low,mobile,LATAM,102,56,0,0.0213
order_provisioning_enable_sim_activation,0,low,mobile,LATAM,153,51,0,0.0308
customer_enable_profile_image,0,high,web,EU,168,46,0,0.0312
customer_enable_engagement_tracking,1,high,mobile,EU,158,36,0,0.0477
customer_enable_manual_renewal,1,medium,mobile,APAC,125,59,0,0.0708
billing_enable_discount_application,1,low,mobile,LATAM,149,67,0,0.0348
provisioning_enable_network_config,1,low,mobile,US,157,68,0,0.0524
payment_reconciliation_enable_payment_reconciliation,0,low,web,LATAM,139,65,0,0.0254
billing_enable_payment_reconciliation,1,medium,mobile,EU,153,51,0,0.0532
provisioning_enable_service_suspension,1,medium,mobile,APAC,105,49,0,0.0547
billing_handle_orphaned_invoices,0,medium,mobile,APAC,119,49,0,0.0474
provisioning_enable_call_forwarding,1,medium,web,EU,159,56,0,0.0497
provisioning_enable_device_activation,1,high,web,EU,131,43,0,0.0266
catalog_enable_plan_recommendations,1,high,web,US,111,40,0,0.0461
provisioning_enable_throttling,1,medium,web,LATAM,161,42,0,0.0693
billing_tax_calculation,1,low,web,EU,151,37,0,0.0412
order_advanced_enable_ml_demand_forecasting,1,high,web,APAC,175,60,0,0.0352
payment_billing_enable_billing_cycle_management,1,high,mobile,EU,122,43,0,0.0534
customer_enable_auto_activation,1,low,mobile,US,152,40,0,0.0599
customer_enable_consent_tracking,1,high,web,US,154,43,0,0.046
catalog_enable_availability_check,0,high,web,EU,121,35,0,0.0356
cart_pricing_region_based_pricing,0,low,web,APAC,176,67,0,0.0369
auth_enable_session_timeout,1,medium,mobile,EU,91,52,0,0.068
customer_enable_data_retention_policy,0,low,web,US,121,35,0,0.0423
billing_enable_payment_plan_creation,0,medium,mobile,APAC,133,49,0,0.0236
cart_compatibility_network_compatibility,0,low,web,APAC,163,68,0,0.0497
customer_enable_engagement_tracking,1,low,mobile,LATAM,107,43,0,0.0549
provisioning_enable_bandwidth_allocation,0,medium,mobile,EU,173,69,0,0.0255
billing_enable_penalty_assessment,1,low,mobile,EU,119,59,0,0.0594
customer_enable_auto_renewal,1,low,mobile,EU,152,70,0,0.0536
notification_audit_enable,1,medium,mobile,US,154,57,0,0.0508
catalog_enable_service_plans,0,low,web,APAC,131,42,0,0.0324
cart_financing_financing_options,1,low,mobile,US,176,57,0,0.0483
customer_enable_customer_journey_tracking,1,high,web,APAC,165,58,0,0.0474
order_pricing_enable_tax_calculation,0,low,web,LATAM,143,35,0,0.0312
inventory_enable_cross_warehouse_transfer,1,medium,mobile,EU,168,56,0,0.0689
notification_channel_email_enable,1,low,mobile,LATAM,92,40,0,0.0645
catalog_enable_review_ratings,0,low,web,EU,171,67,0,0.048
cart_inventory_warehouse_selection,1,low,web,US,155,39,0,0.0516
provisioning_enable_auto_scaling,1,low,mobile,LATAM,158,46,0,0.0583
order_fulfillment_enable_shipping,1,medium,mobile,EU,132,68,0,0.0454
payment_recurring_enable_subscription_billing,1,low,mobile,APAC,103,51,0,0.0569
provisioning_enable_dlp,0,high,mobile,APAC,134,51,0,0.0118
payment_currency_enable_multi_currency,1,medium,web,LATAM,180,35,0,0.0511
billing_enable_currency_conversion,1,medium,mobile,US,139,56,0,0.0409
provisioning_enable_slice_isolation,1,low,mobile,LATAM,126,47,0,0.0576
inventory_enable_supplier_orders,0,medium,mobile,US,101,61,0,0.0349
order_notifications_enable_order_updates,0,medium,web,LATAM,175,56,0,0.0408
notification_audit_enable,1,medium,web,EU,147,65,0,0.0517
payment_reconciliation_enable_payment_reconciliation,1,low,web,US,162,61,0,0.0353
cart_product_management_product_search,0,low,mobile,EU,164,66,0,0.0318
cart_inventory_hold_duration,0,medium,web,US,108,36,0,0.0284
order_provisioning_enable_service_provisioning,1,medium,mobile,LATAM,160,41,0,0.0477
billing_enable_installment_management,0,low,web,APAC,154,48,0,0.0213
payment_dispute_enable_dispute_management,1,medium,mobile,LATAM,172,43,0,0.0376
provisioning_enable_alerts,0,medium,web,APAC,167,48,0,0.0202
customer_enable_aml_check,1,low,mobile,EU,166,42,0,0.0616
billing_enable_coupon_management,1,medium,mobile,APAC,129,56,0,0.0414
provisioning_enable_voicemail,1,low,web,US,156,61,0,0.0538
auth_enable_passwordless,1,low,web,US,151,56,0,0.0533
notification_routing_enable,0,medium,mobile,US,132,60,0,0.0308
customer_enable_data_export,0,medium,mobile,LATAM,91,68,0,0.0487
notification_sms_fragmentation_enable,0,medium,mobile,US,171,70,0,0.0399
provisioning_enable_service_downgrade,1,high,mobile,US,111,43,0,0.0517
cart_notifications_deal_notifications,1,medium,mobile,EU,147,36,0,0.0625
catalog_enable_product_versioning,1,high,web,APAC,170,42,0,0.0434
billing_enable_discrepancy_detection,1,medium,web,LATAM,151,44,0,0.0735
cart_operations_quick_order,1,high,web,US,124,46,0,0.0624
order_pricing_enable_order_billing,0,high,mobile,APAC,172,48,0,0.0123
cart_financing_installment_plans,1,high,mobile,US,116,57,0,0.0187
catalog_enable_warehouse_management,1,low,mobile,APAC,159,66,0,0.0691
customer_enable_profile_completion_tracking,1,low,mobile,US,162,59,0,0.0734
payment_billing_enable_bill_generation,1,medium,web,US,177,48,1,0.0497
auth_enable_sso,1,low,web,APAC,108,35,0,0.0486
customer_enable_consent_tracking,0,low,web,APAC,115,57,0,0.0313
cart_financing_installment_plans,1,high,mobile,EU,90,40,0,0.0351
notification_senderid_whitelist_enable,0,low,web,APAC,172,67,1,0.0244
catalog_enable_purchase_analytics,1,medium,web,APAC,133,65,0,0.0747
billing_enable_late_fee_calculation,1,low,mobile,US,116,52,0,0.0361
catalog_enable_plan_bundling,1,low,web,LATAM,96,65,0,0.0502
inventory_enable_cross_warehouse_transfer,0,low,mobile,APAC,147,61,0,0.0497
payment_dispute_enable_dispute_tracking,1,medium,mobile,APAC,133,66,0,0.0744
cart_product_management_product_filtering,1,high,mobile,US,152,46,0,0.0524
cart_compatibility_international_compatibility,1,low,mobile,EU,165,58,0,0.0705
customer_enable_address_management,1,medium,web,LATAM,149,43,0,0.0767
customer_enable_account_migration,1,high,web,LATAM,94,51,0,0.0459
customer_enable_data_deletion,1,medium,web,US,146,44,0,0.0469
notification_rate_msisdn_enable,1,high,web,LATAM,95,56,0,0.0638
customer_enable_data_export,1,medium,web,LATAM,123,56,0,0.0607
cart_checkout_registered_checkout,1,high,mobile,US,111,38,1,0.0531
payment_analytics_enable_revenue_analytics,0,medium,web,APAC,146,65,0,0.0443
cart_product_management_product_sorting,1,low,web,APAC,131,69,0,0.0743
customer_enable_account_linking_validation,1,medium,web,APAC,133,47,0,0.0459
inventory_enable_stock_counting,1,high,web,LATAM,96,66,0,0.0351
billing_enable_write_off_tracking,1,low,web,US,128,36,0,0.0449
catalog_enable_bundle_publishing,1,low,web,LATAM,162,40,0,0.0504
payment_recurring_enable_subscription_billing,1,high,mobile,APAC,140,61,1,0.0263
order_analytics_enable_order_analytics,1,medium,web,LATAM,131,38,0,0.0544
cart_offers_bundle_offers,1,low,web,EU,99,70,0,0.0569
provisioning_enable_billing_sync,1,medium,mobile,EU,172,39,0,0.0408
provisioning_enable_security_groups,1,low,web,LATAM,165,65,0,0.0504
cart_product_management_product_search,1,medium,mobile,EU,170,66,0,0.0453
catalog_enable_plan_comparisons,0,high,mobile,APAC,111,46,0,0.0166
inventory_enable_warehouse_location_management,1,medium,web,EU,96,57,0,0.059
provisioning_enable_supplementary_services,1,high,mobile,LATAM,99,41,0,0.0281
cart_product_management_product_comparison,0,low,web,LATAM,155,48,1,0.0378
customer_enable_behavior_analytics,1,high,mobile,LATAM,147,44,0,0.0328
order_provisioning_enable_sim_activation,1,low,web,US,120,46,0,0.0585
notification_routing_enable,0,high,web,US,115,68,0,0.0183
billing_enable_unmatched_invoice_handling,0,high,web,APAC,116,59,0,0.0256
catalog_enable_plan_pricing,1,low,web,LATAM,174,48,0,0.0362
catalog_enable_allocation_rules,0,low,mobile,LATAM,128,58,0,0.041
customer_enable_profile_completion_tracking,1,medium,web,LATAM,170,54,0,0.033
customer_enable_address_validation,1,medium,mobile,LATAM,93,41,1,0.0548
payment_dispute_enable_dispute_tracking,1,high,web,US,137,37,0,0.0346
billing_enable_international_billing,1,high,web,EU,175,41,0,0.055
cart_compatibility_device_plan_matching,1,low,web,US,90,39,0,0.0638
cart_operations_cart_merge,0,medium,mobile,LATAM,177,47,0,0.0261
notification_campaign_window_enable,0,medium,mobile,EU,168,40,0,0.0496
provisioning_enable_sms_config,1,medium,web,US,109,49,0,0.0645
payment_billing_enable_billing_cycle_management,1,medium,mobile,LATAM,136,65,0,0.0732
catalog_enable_fulfillment_options,1,medium,web,APAC,114,62,0,0.0361
order_provisioning_enable_device_shipping,1,medium,mobile,APAC,95,59,1,0.0539
payment_billing_enable_usage_based_billing,0,medium,web,US,95,47,0,0.0414
cart_fees_shipping_fees,1,high,web,US,141,68,0,0.0654
billing_enable_payment_history,0,medium,web,US,132,36,0,0.0488
billing_enable_invoice_tracking,0,medium,web,APAC,147,64,0,0.044
catalog_enable_bundle_management,1,low,mobile,US,104,63,1,0.0493
cart_offers_limited_time_offers,0,high,mobile,US,178,52,0,0.0338
cart_tax_compliance,1,low,web,US,131,41,0,0.042
billing_enable_penalty_assessment,1,high,web,EU,149,35,0,0.0536
provisioning_enable_add_on_management,1,low,web,LATAM,123,70,0,0.0462
catalog_enable_bundle_publishing,1,low,web,APAC,121,37,0,0.0587
provisioning_enable_supplementary_services,1,high,web,LATAM,144,68,0,0.0579
customer_enable_customer_journey_tracking,1,medium,mobile,LATAM,140,64,0,0.0631
billing_enable_invoice_reminders,0,high,mobile,US,179,56,0,0.0323
cart_checkout_payment_gateway_integration,0,medium,web,US,179,67,0,0.0211
cart_product_management_wishlist,1,low,mobile,US,96,58,0,0.0601
notification_campaign_window_enable,0,high,web,APAC,107,50,0,0.0139
cart_inventory_hold_duration,1,medium,web,APAC,104,44,0,0.0782
notification_idempotency_enable,0,medium,mobile,US,122,39,0,0.0433
catalog_enable_product_creation,0,low,web,LATAM,148,61,0,0.0219
customer_enable_account_migration,1,medium,web,APAC,168,35,0,0.0672
payment_transaction_enable_single_payment,0,medium,mobile,EU,137,38,0,0.0297
order_provisioning_enable_activation_delay,1,medium,mobile,US,162,49,0,0.0507
billing_enable_reversal_processing,1,medium,mobile,US,149,51,0,0.0639
catalog_enable_inventory_sync,1,low,mobile,APAC,179,46,0,0.0587
inventory_enable_stock_counting,0,medium,web,EU,124,60,0,0.0255
provisioning_enable_call_forwarding,1,low,web,APAC,138,60,0,0.0618
cart_offers_referral_offers,0,medium,mobile,LATAM,147,53,0,0.046
cart_checkout_shipping_address_validation,1,medium,web,US,134,55,0,0.0568
catalog_enable_pricing_rules,1,high,web,US,135,68,0,0.0451
cart_product_management_recommendations,1,low,mobile,APAC,117,63,0,0.0493
customer_enable_signature_capture,1,high,mobile,APAC,142,44,0,0.0479
customer_enable_document_upload,0,low,web,US,103,69,0,0.0278
payment_notification_enable_payment_confirmation,1,low,mobile,US,171,53,0,0.0625
provisioning_enable_latency_control,1,low,mobile,LATAM,152,48,0,0.045
cart_bundling_dynamic_bundles,1,low,mobile,US,157,51,0,0.0504
order_notifications_enable_order_confirmation,1,medium,web,LATAM,173,44,0,0.0525
payment_notification_enable_payment_confirmation,1,low,web,APAC,137,58,0,0.0421
cart_compatibility_international_compatibility,1,medium,web,US,176,45,0,0.0609
notification_metrics_enable,1,high,web,LATAM,161,64,0,0.0304
billing_tax_reporting,0,medium,web,EU,117,41,0,0.0378
cart_operations_bulk_order,0,medium,mobile,EU,168,46,0,0.038
customer_enable_communication_preferences,1,medium,web,EU,154,51,0,0.0575
customer_enable_addon_management,1,high,web,EU,110,49,0,0.0253
inventory_enable_cross_warehouse_transfer,1,low,web,APAC,155,64,0,0.041
cart_operations_cart_sharing,1,medium,mobile,APAC,159,61,0,0.0491
provisioning_enable_supplementary_services,0,medium,mobile,EU,164,67,0,0.0253
payment_analytics_enable_revenue_analytics,1,medium,mobile,EU,176,40,0,0.0616
customer_enable_contact_management,0,low,web,LATAM,174,52,0,0.0373
cart_fees_shipping_fees,1,low,mobile,US,133,63,0,0.0403
payment_reconciliation_enable_transaction_matching,1,medium,web,LATAM,111,63,0,0.0537
billing_enable_currency_conversion,1,high,web,US,149,36,0,0.0427
provisioning_enable_supplementary_services,1,medium,web,APAC,142,53,0,0.0583
billing_enable_invoice_aging_analysis,1,low,web,EU,152,49,0,0.0558
payment_method_enable_digital_wallet,1,medium,mobile,APAC,114,58,0,0.0719
catalog_enable_backorder,0,low,mobile,APAC,156,69,0,0.0461
payment_notification_enable_payment_confirmation,1,low,mobile,APAC,121,37,0,0.0509
payment_advanced_enable_dynamic_pricing,0,medium,mobile,US,165,57,0,0.0275
catalog_enable_product_creation,1,high,mobile,LATAM,162,50,0,0.0276
catalog_enable_regional_pricing,0,medium,mobile,LATAM,96,51,0,0.0439
provisioning_enable_authentication,1,medium,web,EU,165,56,1,0.0685
payment_billing_enable_billing_notifications,1,high,web,EU,90,57,0,0.0579
customer_enable_privacy_preferences,1,medium,mobile,EU,136,54,0,0.0471
billing_enable_payment_plan_creation,1,low,web,US,178,48,0,0.0408
payment_dispute_enable_dispute_management,1,high,mobile,APAC,93,55,0,0.0412
cart_inventory_hold_duration,0,medium,mobile,US,151,51,0,0.0415
customer_enable_consent_tracking,1,high,mobile,EU,139,49,0,0.062
auth_enable_email_verification,0,high,mobile,EU,180,47,0,0.0176
cart_compatibility_network_compatibility,0,medium,mobile,US,129,45,0,0.021
provisioning_enable_dlp,1,low,web,EU,122,40,0,0.0357
order_pricing_enable_tax_calculation,1,low,mobile,US,152,63,0,0.0699
billing_enable_scheduled_invoices,1,medium,mobile,EU,128,37,0,0.0469
customer_enable_contract_templates,1,low,mobile,US,146,42,1,0.0535
cart_product_management_device_products,0,medium,mobile,APAC,179,68,0,0.0336
customer_enable_payment_method_management,0,low,web,LATAM,134,53,0,0.0397
customer_enable_address_validation,1,high,web,APAC,96,35,1,0.0318
cart_inventory_backorder_support,0,low,mobile,LATAM,124,48,0,0.0313
customer_enable_activation_delay,1,low,web,US,93,70,0,0.0555
payment_analytics_enable_customer_payment_analytics,1,medium,web,EU,112,54,0,0.0512
inventory_enable_cost_allocation,1,low,mobile,LATAM,100,53,0,0.0737
inventory_enable_disposal_tracking,0,medium,web,EU,94,63,0,0.0467
customer_enable_data_anonymization,1,high,web,LATAM,157,45,0,0.0516
order_lifecycle_enable_modification,0,medium,mobile,LATAM,157,43,0,0.0299
cart_product_management_device_products,1,low,web,APAC,120,62,0,0.0643
cart_bundling_create_bundles,1,high,mobile,APAC,95,38,0,0.0472
catalog_enable_product_categorization,1,high,mobile,EU,144,67,0,0.0614
inventory_enable_equipment_depreciation,0,medium,web,APAC,168,40,0,0.0365
catalog_enable_allocation_rules,1,low,web,EU,142,40,0,0.0479
cart_compatibility_international_compatibility,1,high,web,LATAM,161,38,0,0.0417
order_lifecycle_enable_creation,0,medium,mobile,LATAM,115,39,0,0.0427
billing_enable_invoice_aging_analysis,1,medium,mobile,LATAM,167,60,0,0.0565
order_pricing_enable_discount_application,1,low,web,US,144,43,0,0.0688
provisioning_enable_smart_provisioning,1,low,web,LATAM,157,51,0,0.0457
order_products_enable_product_variants,0,low,mobile,EU,95,35,0,0.031
customer_enable_sanctions_screening,0,high,mobile,EU,144,37,0,0.008
provisioning_enable_usage_analytics,1,low,web,EU,155,54,0,0.0719
order_analytics_enable_order_analytics,1,medium,mobile,APAC,153,36,0,0.0603
order_provisioning_enable_device_shipping,0,medium,mobile,LATAM,126,65,0,0.0305
billing_enable_interest_accrual,1,low,web,APAC,91,65,0,0.05
provisioning_enable_overage_charges,1,low,mobile,US,141,66,0,0.0629
billing_enable_international_billing,1,low,mobile,LATAM,94,48,0,0.061
auth_enable_audit_logging,1,high,web,US,136,39,0,0.0541
payment_dispute_enable_dispute_tracking,1,medium,web,APAC,176,55,0,0.0416
customer_enable_manual_approval,0,medium,web,US,123,59,0,0.0297
billing_enable_transaction_history,0,low,web,EU,152,70,0,0.0484
customer_enable_cookie_preferences,1,low,web,US,117,61,0,0.0448
notification_rate_global_enable,0,medium,web,EU,167,44,0,0.0267
billing_enable_history_tracking,0,medium,mobile,US,171,49,0,0.0258
billing_enable_interest_accrual,0,medium,mobile,EU,122,60,0,0.0379
billing_tax_compliance,1,low,web,APAC,140,50,0,0.0529
customer_enable_cookie_preferences,1,medium,web,US,99,35,0,0.0602
cart_bundling_device_plan_bundles,1,medium,web,LATAM,155,56,0,0.0465
catalog_enable_review_moderation,0,low,web,EU,149,54,0,0.0478
cart_tax_compliance,0,high,web,US,177,52,0,0.0154
billing_enable_write_off_tracking,1,medium,web,EU,167,44,0,0.0342
billing_enable_multi_currency,1,low,mobile,LATAM,98,60,0,0.0617
customer_enable_registration,1,low,web,EU,134,57,0,0.0751
provisioning_enable_sim_activation,0,high,mobile,US,129,70,0,0.0077
catalog_enable_bundle_management,1,high,web,LATAM,90,62,0,0.0434
cart_operations_purchase_order,0,low,mobile,LATAM,91,38,0,0.0289
inventory_enable_cost_tracking,1,high,web,LATAM,168,40,0,0.0662
cart_bundling_dynamic_bundles,1,medium,mobile,EU,161,62,0,0.0476
customer_enable_contract_management,0,medium,web,LATAM,173,36,0,0.0463
billing_tax_by_region,1,medium,mobile,LATAM,106,62,0,0.042
customer_enable_language_preferences,1,low,web,EU,104,59,0,0.0507
customer_enable_bulk_operations,1,high,mobile,US,117,35,0,0.0473
cart_operations_saved_for_later,1,high,web,LATAM,108,49,0,0.0573
order_fulfillment_enable_order_allocation,1,medium,web,LATAM,157,42,0,0.0602
provisioning_enable_voice_config,1,high,web,LATAM,179,43,0,0.0595
billing_tax_reporting,1,low,web,US,180,57,0,0.0776
cart_fees_shipping_fees,1,low,web,APAC,111,36,0,0.0788
catalog_enable_bundle_pricing,1,high,web,US,170,63,0,0.0625
notification_metrics_enable,0,low,web,APAC,174,65,0,0.034
customer_enable_customer_segmentation,0,high,web,APAC,105,53,0,0.041
cart_operations_saved_for_later,1,high,mobile,US,125,51,0,0.0481
catalog_enable_device_specifications,0,medium,mobile,LATAM,131,60,0,0.0207
cart_pricing_bundle_discounts,1,medium,web,EU,114,50,0,0.0667
cart_checkout_payment_plan_selection,1,medium,mobile,APAC,158,67,0,0.0541
catalog_enable_product_versioning,1,high,mobile,EU,151,63,0,0.0451
customer_enable_document_upload,0,medium,web,LATAM,170,56,0,0.0275
customer_enable_invoice_access,0,low,web,EU,179,45,0,0.0493
payment_analytics_enable_payment_analytics,1,low,mobile,APAC,162,40,0,0.073
order_fulfillment_enable_delivery_tracking,0,high,web,APAC,99,50,0,0.0366
provisioning_enable_priority_levels,1,high,web,LATAM,148,45,0,0.0576
inventory_enable_cost_tracking,1,low,web,APAC,136,59,1,0.0582
payment_reconciliation_enable_payment_reconciliation,0,low,mobile,EU,118,50,0,0.0479
cart_analytics_session_tracking,1,low,mobile,APAC,117,69,0,0.0543
billing_enable_international_billing,1,high,web,APAC,115,49,0,0.0501
cart_analytics_session_tracking,0,low,mobile,LATAM,127,52,0,0.0446
catalog_enable_product_versioning,0,high,web,US,151,53,0,0.0261
billing_enable_reversal_processing,0,medium,mobile,EU,101,38,0,0.046
auth_enable_registration,1,low,mobile,US,125,66,0,0.0493
billing_enable_unmatched_invoice_handling,1,medium,mobile,EU,178,44,1,0.0587
customer_enable_sanctions_screening,0,medium,mobile,EU,144,67,0,0.0297
provisioning_enable_orchestration,1,high,web,EU,175,69,0,0.0518
customer_enable_data_export,0,medium,web,APAC,156,53,0,0.0348
order_provisioning_enable_activation_delay,0,high,mobile,APAC,143,47,0,0.026
inventory_enable_product_lifecycle_management,0,high,mobile,APAC,145,40,0,0.017
cart_pricing_time_based_pricing,1,medium,web,US,102,53,0,0.0446
cart_inventory_reserve_items,0,medium,web,APAC,167,45,0,0.0426
cart_offers_free_shipping_offers,1,high,mobile,EU,117,65,0,0.0343
cart_pricing_segment_based_pricing,1,low,mobile,EU,90,61,0,0.0585
cart_compatibility_sim_card_compatibility,1,medium,web,APAC,121,49,0,0.0425
cart_fees_service_fees,0,low,mobile,US,169,58,0,0.0422
catalog_enable_category_management,0,medium,web,EU,178,56,0,0.0434
inventory_enable_inventory_analytics,1,low,mobile,EU,127,69,0,0.043
order_fulfillment_enable_shipping,1,low,mobile,LATAM,151,47,0,0.0713
customer_enable_suspension,1,high,mobile,APAC,153,41,0,0.0388
notification_sms_unicode_enable,1,high,mobile,LATAM,146,62,0,0.0572
billing_enable_bundle_discounts,1,low,mobile,LATAM,145,43,0,0.0592
billing_enable_subscription_discount,1,medium,web,APAC,162,53,0,0.0545
catalog_enable_warehouse_management,0,low,mobile,EU,125,40,0,0.0408
payment_method_enable_bank_transfer,1,high,mobile,EU,139,43,0,0.0422
customer_enable_data_retention_policy,1,low,mobile,APAC,153,46,0,0.0645
