flag_name,flag_on,traffic,user,region,latency,cpu,error,timestamp,release_window
customer_enable_sanctions_screening,1,low,web,APAC,194,59,0,2025-02-03T01:35:00,normal
payment_recurring_enable_subscription_billing,0,high,web,LATAM,248,83,0,2025-02-10T06:40:00,normal
provisioning_enable_audit_logs,1,low,web,EU,216,74,0,2025-01-24T19:53:00,normal
cart_operations_purchase_order,1,medium,mobile,LATAM,179,74,0,2025-01-01T04:15:00,normal
inventory_enable_lot_tracking,0,medium,mobile,EU,152,49,0,2025-01-02T18:34:00,normal
inventory_enable_lot_tracking,0,high,mobile,EU,254,101,0,2025-01-07T09:32:00,normal
billing_enable_multi_currency,1,high,mobile,EU,386,114,0,2025-01-19T17:21:00,normal
provisioning_enable_throttling,0,medium,mobile,LATAM,139,41,0,2025-01-22T07:06:00,normal
cart_inventory_availability_alerts,1,medium,web,US,211,85,0,2025-02-19T02:28:00,normal
catalog_enable_product_lifecycle,0,medium,mobile,EU,136,40,0,2025-01-08T13:09:00,normal
cart_offers_free_shipping_offers,1,low,mobile,EU,203,82,0,2025-01-26T03:15:00,normal
order_pricing_enable_billing_sync,1,high,mobile,US,413,105,1,2025-01-09T11:20:00,post-release
customer_enable_billing_address,1,medium,web,APAC,201,69,0,2025-02-04T01:35:00,normal
cart_tax_calculation,1,medium,web,LATAM,227,67,0,2025-02-19T23:00:00,normal
payment_reconciliation_enable_transaction_matching,0,low,web,EU,106,57,0,2025-01-03T21:28:00,normal
payment_method_enable_credit_card,1,low,mobile,APAC,210,59,0,2025-01-08T00:17:00,normal
provisioning_enable_orchestration,0,medium,web,LATAM,157,52,0,2025-01-18T14:24:00,normal
billing_enable_invoice_aging_analysis,1,medium,web,LATAM,175,58,0,2025-01-12T09:04:00,normal
provisioning_enable_bandwidth_allocation,1,high,mobile,APAC,252,104,0,2025-02-03T04:37:00,normal
notification_audit_enable,1,low,mobile,APAC,202,80,1,2025-01-31T06:24:00,normal
payment_dispute_enable_dispute_tracking,1,medium,web,EU,158,71,0,2025-01-01T16:56:00,normal
order_pricing_enable_tax_calculation,1,low,mobile,US,198,79,0,2025-02-13T21:19:00,normal
provisioning_enable_dlp,0,medium,mobile,US,141,51,0,2025-02-13T06:32:00,normal
customer_enable_registration,0,medium,web,APAC,112,57,0,2025-01-16T05:18:00,normal
catalog_enable_review_ratings,1,low,web,US,181,66,0,2025-01-09T19:51:00,normal
catalog_enable_device_availability,1,low,web,LATAM,196,74,0,2025-02-17T12:40:00,post-release
cart_checkout_billing_address_validation,1,medium,mobile,EU,219,75,0,2025-01-26T05:16:00,normal
billing_enable_penalty_assessment,0,medium,web,EU,116,64,0,2025-02-16T04:07:00,normal
payment_advanced_enable_payment_optimization,1,medium,web,APAC,213,58,0,2025-02-25T19:49:00,normal
catalog_enable_regional_pricing,1,low,web,EU,157,69,0,2025-01-30T17:36:00,normal
customer_enable_churn_prediction,0,low,mobile,US,154,63,0,2025-02-03T02:54:00,normal
cart_inventory_pre_order_support,1,medium,web,EU,170,71,0,2025-01-23T02:58:00,normal
provisioning_enable_throttling,0,medium,web,APAC,110,59,0,2025-02-20T00:18:00,normal
cart_operations_purchase_order,1,medium,mobile,US,163,77,1,2025-01-26T18:30:00,normal
order_notifications_enable_order_confirmation,0,low,mobile,APAC,119,44,0,2025-02-06T17:10:00,normal
notification_consent_checks_enable,0,low,web,LATAM,125,49,0,2025-01-22T19:33:00,normal
inventory_enable_supplier_pricing,1,medium,mobile,EU,190,78,1,2025-02-18T06:44:00,normal
catalog_enable_product_versioning,1,medium,web,APAC,174,70,0,2025-02-27T07:01:00,normal
provisioning_enable_throttling,1,high,web,US,343,92,1,2025-01-24T03:14:00,normal
customer_enable_payment_method_management,1,medium,web,APAC,142,83,0,2025-02-23T21:30:00,normal
catalog_enable_bulk_upload,0,low,mobile,EU,101,56,0,2025-01-10T01:47:00,normal
customer_enable_email_verification,1,low,web,LATAM,202,66,0,2025-01-16T02:55:00,normal
inventory_enable_valuation_methods,0,medium,web,EU,108,42,0,2025-01-12T16:25:00,normal
cart_pricing_region_based_pricing,1,medium,web,LATAM,215,50,0,2025-02-09T10:43:00,post-release
order_fulfillment_enable_delivery_tracking,0,high,mobile,LATAM,260,81,0,2025-01-15T12:22:00,post-release
cart_fees_shipping_fees,1,medium,mobile,APAC,212,64,0,2025-01-19T23:45:00,normal
order_products_enable_addon_products,0,high,web,APAC,325,84,0,2025-01-21T04:57:00,normal
notification_sms_fragmentation_enable,1,high,web,US,329,128,0,2025-02-19T03:02:00,normal
cart_offers_loyalty_rewards,1,low,mobile,APAC,222,57,1,2025-01-07T12:14:00,post-release
provisioning_enable_voice_config,0,medium,mobile,APAC,146,47,0,2025-01-23T16:02:00,normal
customer_enable_behavior_analytics,1,medium,web,LATAM,224,55,0,2025-02-20T01:59:00,normal
order_inventory_enable_backorder,0,low,web,LATAM,146,44,0,2025-01-15T16:22:00,normal
customer_enable_phone_verification,1,high,mobile,US,296,101,1,2025-02-12T13:57:00,normal
order_pricing_enable_billing_sync,1,high,web,US,281,95,0,2025-02-02T16:04:00,normal
provisioning_enable_service_termination,1,low,web,US,201,82,0,2025-01-11T14:26:00,normal
cart_offers_referral_offers,1,low,mobile,APAC,162,75,0,2025-01-03T02:30:00,normal
order_compliance_enable_compliance_reporting,0,high,web,EU,255,82,0,2025-02-14T04:05:00,normal
catalog_enable_backorder,1,low,web,LATAM,178,62,0,2025-02-03T15:09:00,normal
notification_multichannel_enable,0,medium,mobile,APAC,110,46,0,2025-03-01T07:30:00,normal
order_compliance_enable_compliance_reporting,0,low,mobile,EU,156,48,0,2025-01-14T11:33:00,post-release
cart_pricing_region_based_pricing,0,low,mobile,APAC,104,46,0,2025-01-05T10:07:00,post-release
customer_enable_bulk_operations,0,low,web,EU,154,40,0,2025-01-05T20:41:00,normal
notification_sms_unicode_enable,1,medium,mobile,APAC,148,73,0,2025-01-14T04:22:00,normal
order_analytics_enable_order_analytics,0,low,web,US,108,58,0,2025-01-02T18:51:00,normal
notification_templates_enable,1,low,mobile,LATAM,164,77,0,2025-03-01T10:19:00,post-release
provisioning_enable_service_termination,1,high,mobile,LATAM,335,109,0,2025-01-13T09:06:00,normal
provisioning_enable_orchestration,0,medium,web,APAC,101,55,0,2025-02-17T07:10:00,normal
payment_currency_enable_multi_currency,1,low,mobile,APAC,166,75,0,2025-01-06T13:14:00,normal
cart_product_management_product_sorting,1,low,web,LATAM,229,75,0,2025-02-27T14:02:00,normal
customer_enable_manual_approval,1,low,web,LATAM,141,53,0,2025-02-20T23:32:00,normal
catalog_enable_warehouse_management,0,high,web,LATAM,298,81,0,2025-01-06T05:44:00,normal
provisioning_enable_plan_change,1,high,mobile,US,409,97,0,2025-02-20T20:22:00,normal
catalog_enable_device_images,0,high,web,US,326,62,0,2025-01-28T22:45:00,normal
order_analytics_enable_order_analytics,1,medium,mobile,US,159,70,0,2025-01-26T22:35:00,normal
catalog_enable_review_images,1,low,web,APAC,162,81,1,2025-02-05T14:40:00,normal
notification_templates_enable,1,medium,web,APAC,214,60,0,2025-01-12T16:26:00,normal
inventory_enable_valuation_methods,1,high,web,APAC,333,110,0,2025-01-30T14:49:00,normal
billing_enable_credit_memo_creation,1,low,mobile,US,181,83,0,2025-01-18T04:30:00,normal
inventory_enable_supplier_orders,1,low,mobile,EU,149,79,0,2025-01-01T05:45:00,normal
customer_enable_communication_preferences,0,medium,web,EU,140,60,0,2025-01-15T05:00:00,normal
catalog_enable_product_analytics,1,medium,mobile,US,200,73,0,2025-01-17T11:21:00,post-release
order_products_enable_product_variants,0,medium,web,US,118,43,0,2025-02-17T17:14:00,normal
cart_operations_purchase_order,1,high,mobile,LATAM,302,101,0,2025-02-28T12:08:00,post-release
provisioning_enable_usage_tracking,1,medium,mobile,APAC,171,74,0,2025-01-14T05:36:00,normal
notification_channel_ivr_enable,1,medium,web,US,189,84,0,2025-01-25T07:04:00,normal
payment_recurring_enable_recurring_charges,1,low,web,EU,236,64,0,2025-02-20T11:00:00,post-release
billing_enable_transaction_history,1,low,web,US,170,64,0,2025-02-13T04:39:00,normal
cart_notifications_deal_notifications,1,low,web,US,191,58,0,2025-01-23T21:06:00,normal
customer_enable_subscription_management,1,high,mobile,APAC,334,101,0,2025-01-08T04:01:00,normal
inventory_enable_equipment_tracking,1,medium,web,EU,208,58,0,2025-02-08T21:36:00,normal
payment_reconciliation_enable_transaction_matching,1,medium,mobile,LATAM,181,72,0,2025-01-14T10:38:00,post-release
billing_enable_payment_reconciliation,0,low,mobile,APAC,100,51,0,2025-01-25T17:12:00,normal
cart_financing_lease_options,0,medium,web,EU,105,62,0,2025-02-20T13:00:00,normal
billing_enable_write_off_tracking,1,low,mobile,US,184,59,0,2025-02-13T03:54:00,normal
customer_enable_plan_change,0,medium,mobile,EU,101,62,0,2025-01-19T02:16:00,normal
payment_refund_enable_partial_refund,1,high,web,LATAM,307,107,0,2025-01-16T03:57:00,normal
cart_operations_cart_merge,1,low,web,LATAM,191,68,1,2025-01-13T22:15:00,normal
customer_enable_registration,1,high,mobile,APAC,325,88,0,2025-01-17T22:03:00,normal
notification_routing_enable,0,low,mobile,EU,114,49,0,2025-02-07T06:01:00,normal
catalog_enable_view_analytics,0,low,web,APAC,121,60,0,2025-01-29T01:26:00,normal
catalog_enable_product_deletion,1,low,web,LATAM,215,67,1,2025-02-14T15:09:00,normal
order_inventory_enable_backorder,1,medium,web,LATAM,193,74,0,2025-01-18T17:13:00,normal
billing_enable_advance_payment_tracking,1,medium,web,LATAM,161,64,0,2025-02-02T00:08:00,normal
customer_enable_billing_address,0,low,mobile,APAC,102,44,0,2025-01-15T00:58:00,normal
payment_refund_enable_refund_automation,1,high,mobile,LATAM,295,99,1,2025-02-11T10:16:00,post-release
cart_bundling_bundle_recommendations,0,high,mobile,LATAM,304,90,0,2025-01-16T07:49:00,normal
provisioning_enable_workflow_automation,0,medium,mobile,US,100,48,0,2025-01-17T13:07:00,normal
provisioning_enable_plan_change,1,high,mobile,APAC,318,109,0,2025-01-06T04:33:00,normal
order_products_enable_addon_products,1,medium,web,US,199,71,1,2025-02-01T13:54:00,normal
cart_operations_cart_notifications,1,medium,web,LATAM,149,82,0,2025-02-20T12:43:00,post-release
cart_analytics_product_performance,1,high,mobile,LATAM,345,102,0,2025-02-13T19:28:00,normal
cart_offers_limited_time_offers,1,low,mobile,LATAM,185,65,0,2025-01-15T06:38:00,normal
billing_enable_transaction_history,0,medium,web,EU,128,56,1,2025-02-25T02:57:00,normal
order_fulfillment_enable_picking,0,high,web,US,278,84,0,2025-01-07T02:05:00,normal
catalog_enable_device_availability,0,medium,mobile,EU,129,64,0,2025-01-22T10:27:00,post-release
order_fulfillment_enable_order_allocation,1,medium,web,US,197,76,0,2025-01-31T10:08:00,post-release
provisioning_enable_voice_config,1,high,mobile,US,312,78,0,2025-01-01T07:00:00,normal
inventory_enable_product_lifecycle_management,0,high,mobile,LATAM,322,75,0,2025-02-13T20:36:00,normal
payment_compliance_enable_aml_check,1,low,mobile,EU,192,63,0,2025-01-23T03:52:00,normal
billing_enable_installment_management,1,high,mobile,LATAM,296,91,0,2025-02-06T09:37:00,normal
provisioning_enable_service_upgrade,1,low,mobile,APAC,152,64,0,2025-01-08T04:58:00,normal
cart_inventory_real_time_sync,1,high,web,EU,323,85,1,2025-02-11T15:35:00,normal
billing_enable_payment_history,0,high,mobile,APAC,270,98,1,2025-02-01T00:06:00,normal
billing_enable_invoice_history,0,medium,mobile,US,108,65,0,2025-01-10T00:35:00,normal
auth_enable_sso,1,medium,web,APAC,214,59,0,2025-01-10T01:53:00,normal
billing_enable_payment_plan_creation,0,low,web,US,123,46,0,2025-01-10T09:41:00,normal
cart_analytics_cart_abandonment_tracking,1,high,mobile,US,415,107,0,2025-01-05T02:56:00,normal
payment_dispute_enable_dispute_tracking,0,medium,mobile,US,124,44,0,2025-02-24T17:10:00,normal
order_fulfillment_enable_packing,1,high,mobile,APAC,379,93,0,2025-02-09T22:02:00,normal
customer_enable_data_retention_policy,0,medium,web,EU,120,55,0,2025-02-22T00:03:00,normal
catalog_enable_product_versioning,1,low,web,EU,198,62,0,2025-01-30T18:48:00,normal
order_pricing_enable_tax_calculation,0,high,mobile,EU,308,85,0,2025-01-10T00:38:00,normal
payment_billing_enable_bill_generation,1,medium,mobile,LATAM,196,85,0,2025-02-16T15:40:00,normal
payment_transaction_enable_payment_settlement,1,medium,mobile,LATAM,165,85,0,2025-02-18T15:30:00,normal
provisioning_enable_firewall_config,1,medium,mobile,EU,202,71,0,2025-01-11T18:45:00,normal
catalog_enable_review_moderation,1,low,mobile,US,140,62,0,2025-01-12T09:00:00,normal
cart_operations_cart_merge,1,medium,mobile,APAC,187,54,0,2025-01-12T06:09:00,normal
billing_enable_international_billing,1,low,mobile,LATAM,207,57,0,2025-02-20T07:40:00,normal
payment_analytics_enable_payment_method_analytics,1,medium,mobile,EU,166,64,0,2025-02-19T01:13:00,normal
cart_bundling_create_bundles,1,low,mobile,US,165,76,0,2025-02-26T07:36:00,normal
billing_handle_orphaned_invoices,0,high,web,APAC,344,73,0,2025-02-09T19:09:00,normal
provisioning_enable_network_config,0,low,web,EU,131,62,0,2025-02-09T06:04:00,normal
payment_currency_enable_currency_rate_management,1,medium,web,US,189,68,0,2025-02-21T05:27:00,normal
cart_notifications_abandoned_cart_notifications,0,high,web,LATAM,261,70,1,2025-01-16T09:30:00,normal
catalog_enable_device_catalog,0,medium,web,EU,136,44,0,2025-02-19T20:30:00,normal
inventory_enable_equipment_tracking,0,low,web,APAC,125,47,0,2025-02-19T01:33:00,normal
payment_recurring_enable_billing_schedule,1,low,web,LATAM,147,71,1,2025-02-09T01:59:00,normal
payment_analytics_enable_payment_method_analytics,1,medium,mobile,APAC,199,68,0,2025-01-12T23:28:00,normal
provisioning_enable_qos_management,1,low,web,US,223,72,0,2025-01-17T20:38:00,normal
cart_notifications_order_updates,1,medium,mobile,US,224,80,0,2025-02-26T19:26:00,normal
billing_enable_manual_reconciliation,1,low,web,LATAM,177,63,0,2025-01-11T05:52:00,normal
billing_enable_transaction_matching,1,low,mobile,LATAM,226,62,0,2025-02-01T23:22:00,normal
cart_notifications_deal_notifications,1,low,mobile,EU,180,87,0,2025-02-01T16:20:00,normal
billing_enable_payment_reconciliation,0,low,web,LATAM,137,40,1,2025-01-02T11:10:00,post-release
billing_tax_compliance,0,high,mobile,APAC,327,62,0,2025-01-21T16:50:00,normal
cart_product_management_recommendations,0,medium,mobile,EU,144,44,0,2025-01-18T04:59:00,normal
payment_notification_enable_payment_confirmation,1,high,web,US,378,98,0,2025-01-16T21:03:00,normal
provisioning_enable_security_groups,1,low,web,EU,202,65,1,2025-01-05T18:01:00,normal
cart_offers_bundle_offers,1,low,web,APAC,167,85,0,2025-02-07T04:02:00,normal
billing_enable_coupon_management,1,low,web,US,213,63,1,2025-02-14T20:52:00,normal
catalog_enable_category_recommendations,0,low,web,LATAM,134,62,0,2025-02-19T02:25:00,normal
customer_enable_contract_management,1,high,web,LATAM,399,105,1,2025-02-05T10:49:00,post-release
customer_enable_profile_image,1,low,web,US,233,56,0,2025-02-18T21:59:00,normal
provisioning_enable_latency_control,1,high,web,LATAM,358,114,0,2025-02-22T11:19:00,post-release
provisioning_enable_security_groups,1,low,mobile,US,154,73,0,2025-02-11T13:04:00,normal
payment_billing_enable_usage_based_billing,1,low,web,APAC,183,63,0,2025-01-23T02:29:00,normal
cart_operations_saved_for_later,0,low,mobile,US,106,40,0,2025-01-31T05:54:00,normal
billing_enable_write_off_tracking,1,medium,mobile,US,219,90,0,2025-01-05T05:32:00,normal
inventory_enable_stock_transfer,1,low,web,LATAM,160,75,0,2025-02-11T11:12:00,post-release
inventory_enable_forecasting,1,high,mobile,APAC,329,108,0,2025-01-08T03:03:00,normal
customer_enable_kyc_validation,0,medium,mobile,EU,120,57,0,2025-03-01T04:05:00,normal
provisioning_enable_priority_levels,1,medium,mobile,APAC,186,61,0,2025-02-09T00:15:00,normal
cart_pricing_promotional_pricing,1,low,web,LATAM,191,64,0,2025-01-03T16:38:00,normal
provisioning_enable_apn_config,1,high,mobile,US,374,101,0,2025-02-14T22:49:00,normal
catalog_enable_review_moderation,0,high,web,EU,230,70,0,2025-01-20T13:03:00,normal
customer_enable_contract_renewal,1,low,web,US,166,72,0,2025-01-27T09:15:00,normal
catalog_enable_purchase_analytics,0,low,mobile,LATAM,142,40,0,2025-02-15T01:38:00,normal
payment_refund_enable_partial_refund,1,medium,mobile,US,138,69,0,2025-02-09T15:19:00,normal
customer_enable_contract_renewal,1,medium,web,LATAM,168,74,0,2025-02-28T18:19:00,normal
catalog_enable_bundle_pricing,0,high,web,EU,376,85,0,2025-01-21T17:15:00,normal
order_fulfillment_enable_packing,1,low,mobile,APAC,223,75,0,2025-02-24T01:23:00,normal
cart_analytics_product_performance,1,low,web,APAC,231,67,0,2025-02-26T01:58:00,normal
billing_enable_payment_history,1,low,web,APAC,227,58,0,2025-01-31T11:37:00,post-release
cart_pricing_time_based_pricing,0,low,web,LATAM,151,41,0,2025-02-13T01:48:00,normal
provisioning_enable_billing_sync,0,low,web,US,159,55,0,2025-01-06T07:28:00,normal
billing_enable_invoice_tracking,1,low,mobile,US,233,60,0,2025-02-08T07:31:00,normal
payment_notification_enable_payment_failure_notification,0,high,web,APAC,339,92,1,2025-02-20T04:09:00,normal
order_pricing_enable_tax_calculation,0,high,web,LATAM,340,73,1,2025-01-13T18:06:00,normal
provisioning_enable_performance_metrics,1,low,mobile,LATAM,211,74,0,2025-01-26T19:47:00,normal
catalog_enable_product_analytics,1,high,mobile,APAC,363,106,1,2025-02-15T01:59:00,normal
customer_enable_subscription_management,0,medium,web,EU,123,65,0,2025-01-24T06:27:00,normal
cart_notifications_stock_alerts,1,medium,web,LATAM,171,80,0,2025-01-11T04:12:00,normal
cart_inventory_stock_checking,1,medium,web,EU,200,88,0,2025-01-29T05:05:00,normal
catalog_enable_bundle_creation,0,medium,mobile,APAC,104,46,0,2025-02-27T13:39:00,normal
cart_financing_device_financing,0,low,mobile,LATAM,106,46,0,2025-01-14T18:13:00,normal
cart_pricing_dynamic_pricing,0,low,mobile,APAC,129,60,0,2025-01-25T06:19:00,normal
cart_offers_limited_time_offers,1,low,mobile,LATAM,205,83,0,2025-02-05T11:31:00,post-release
billing_tax_compliance,1,medium,web,EU,168,87,1,2025-01-21T06:04:00,normal
billing_enable_multi_currency,1,low,web,APAC,195,86,0,2025-02-22T14:18:00,normal
billing_enable_payment_reconciliation,1,high,mobile,APAC,302,112,0,2025-02-26T16:22:00,normal
provisioning_enable_notifications,1,medium,mobile,US,157,65,0,2025-02-16T06:18:00,normal
billing_enable_coupon_management,1,high,mobile,EU,303,107,1,2025-02-24T10:13:00,post-release
customer_enable_manual_approval,1,low,mobile,EU,179,73,0,2025-01-11T20:24:00,normal
notification_templates_enable,1,low,mobile,US,198,60,0,2025-02-06T14:19:00,normal
customer_enable_suspension,1,medium,mobile,EU,195,75,0,2025-01-16T02:52:00,normal
auth_enable_passwordless,1,high,mobile,US,353,98,0,2025-01-06T01:31:00,normal
cart_operations_quick_order,1,medium,web,APAC,185,69,0,2025-02-07T04:21:00,normal
billing_enable_interest_accrual,1,medium,web,EU,145,76,1,2025-02-10T08:22:00,normal
cart_pricing_segment_based_pricing,1,low,web,LATAM,182,64,0,2025-02-19T16:49:00,normal
catalog_enable_device_pricing,1,low,web,LATAM,156,56,0,2025-02-16T05:05:00,normal
catalog_enable_predictive_inventory,0,high,mobile,EU,344,88,0,2025-01-11T07:06:00,normal
notification_dnd_checks_enable,1,high,mobile,APAC,323,110,0,2025-01-18T05:34:00,normal
order_products_enable_addon_products,1,low,web,LATAM,229,61,0,2025-01-30T19:49:00,normal
cart_pricing_segment_based_pricing,1,medium,mobile,EU,185,60,0,2025-01-10T18:48:00,normal
notification_sms_fragmentation_enable,1,medium,mobile,APAC,176,73,0,2025-01-18T09:06:00,normal
provisioning_enable_provisioning_reports,1,low,mobile,APAC,214,74,0,2025-02-04T05:32:00,normal
cart_product_management_product_filtering,1,low,mobile,US,174,58,0,2025-01-04T05:19:00,normal
billing_enable_invoice_history,0,low,mobile,LATAM,140,60,0,2025-02-02T15:33:00,normal
notification_senderid_whitelist_enable,0,low,web,APAC,135,49,0,2025-02-16T19:07:00,normal
provisioning_enable_bandwidth_allocation,0,medium,mobile,US,132,61,0,2025-01-20T01:37:00,normal
customer_enable_communication_channel_preference,1,medium,web,US,201,90,0,2025-02-25T17:10:00,normal
payment_currency_enable_currency_conversion,1,medium,web,EU,169,67,1,2025-02-02T09:55:00,normal
customer_enable_data_export,0,low,mobile,LATAM,129,55,0,2025-02-15T10:23:00,post-release
catalog_enable_product_import,1,high,mobile,US,312,101,0,2025-02-11T00:04:00,normal
provisioning_enable_workflow_automation,0,medium,mobile,EU,142,47,0,2025-02-05T05:51:00,normal
auth_enable_sso,0,high,mobile,LATAM,240,80,1,2025-01-07T11:41:00,post-release
notification_routing_enable,0,low,web,LATAM,112,43,0,2025-02-10T15:19:00,normal
inventory_enable_order_shipping,1,high,mobile,EU,385,106,0,2025-02-28T16:04:00,normal
order_lifecycle_enable_order_tracking,1,high,web,EU,295,112,1,2025-01-01T13:43:00,normal
customer_enable_data_retention_policy,0,medium,web,LATAM,109,49,0,2025-01-07T08:34:00,normal
customer_enable_cookie_preferences,0,low,mobile,EU,146,63,0,2025-01-30T12:59:00,post-release
cart_offers_flash_sales,0,high,web,LATAM,291,70,0,2025-01-30T01:41:00,normal
billing_tax_calculation,1,low,mobile,APAC,185,63,0,2025-02-08T02:11:00,normal
inventory_enable_warehouse_setup,1,medium,web,LATAM,182,63,0,2025-01-01T01:39:00,normal
inventory_enable_order_shipping,1,high,mobile,EU,369,115,0,2025-01-09T18:42:00,normal
customer_enable_contract_management,1,low,mobile,LATAM,155,75,0,2025-02-13T17:58:00,normal
provisioning_enable_supplementary_services,1,low,mobile,EU,197,76,0,2025-01-03T07:20:00,normal
provisioning_enable_smart_provisioning,0,low,web,US,133,63,0,2025-02-27T18:32:00,normal
order_analytics_enable_shipping_analytics,1,medium,mobile,LATAM,191,79,0,2025-02-23T07:46:00,normal
payment_analytics_enable_payment_method_analytics,0,high,web,APAC,320,83,0,2025-01-05T20:45:00,normal
cart_bundling_plan_bundling,0,low,mobile,LATAM,111,61,0,2025-01-16T20:23:00,normal
payment_transaction_enable_payment_settlement,0,low,web,APAC,153,47,0,2025-02-27T12:06:00,post-release
billing_enable_invoice_reminders,1,medium,mobile,EU,158,69,0,2025-02-04T13:46:00,normal
billing_enable_bundle_discounts,1,low,mobile,LATAM,189,56,0,2025-01-31T14:12:00,normal
auth_enable_mfa,1,medium,mobile,US,167,58,0,2025-02-16T13:31:00,normal
cart_bundling_bundle_pricing,1,high,mobile,APAC,355,91,0,2025-01-12T09:56:00,normal
provisioning_enable_carrier_routing,0,low,mobile,LATAM,129,45,0,2025-02-03T02:47:00,normal
catalog_enable_review_images,1,medium,mobile,US,208,69,0,2025-01-28T16:41:00,normal
cart_analytics_cart_abandonment_tracking,0,low,mobile,LATAM,150,59,0,2025-01-06T06:35:00,normal
billing_enable_partial_payment_tracking,1,medium,mobile,US,203,76,0,2025-02-07T01:17:00,normal
inventory_enable_price_management,1,low,web,EU,199,63,0,2025-02-23T08:11:00,normal
customer_enable_contact_management,1,high,web,LATAM,308,97,0,2025-02-24T16:45:00,normal
cart_financing_financing_options,1,high,mobile,LATAM,352,116,0,2025-01-23T06:02:00,normal
payment_reconciliation_enable_payment_reconciliation,1,medium,mobile,LATAM,191,74,0,2025-01-03T06:56:00,normal
